var_orig,label_orig,type_orig,type_suggested,var_new,type_new,keep
men_id,Identifiant unique ménage,double,numeric,men_id,numeric,yes
A01,Région,string,factor,A01,factor,yes
A02,Département,string,factor,A02,factor,yes
A03,Arrondissement/Ville,string,factor,A03,factor,yes
A04,Commune,string,factor,A04,factor,yes
A06,Idenifiant du DR (nouveau),string,character,A06,character,no
A08B,Nombre de ménage dans la concession,double,numeric,A08B,numeric,no
A09,Numéro du ménage,double,numeric,A09,numeric,no
A10,Milieu de résidence,double,factor,A10,factor,yes
A11,Type de ménage,double,factor,A11,factor,no
A11A,Type de ménage collectif,double,factor,A11A,factor,no
A11A_AUTRES,Autres types de ménages collectifs,string,character,A11A_AUTRES,character,no
B01,Numéro D'ordre,double,factor,B01,factor,yes
B04,LIEN DE PARENTE AVEC LE CM,double,factor,B04,factor,yes
B06,SEXE,double,factor,B06,factor,yes
B07_A,DATE DE NAISSANCE (ANNEE),double,numeric,B07_A,numeric,no
B07_J,Jour de naissance,double,numeric,B07_J,numeric,no
B07_M,DATE DE NAISSANCE (MOIS),double,factor,B07_M,factor,no
B08,AGE,double,factor,B08,factor,yes
B09,Lieu de naissance,double,factor,B09,factor,no
B09_COM,Commune DE NAISSANCE,string,factor,B09_COM,factor,no
B09_DEP,DEPARTEMENT DE NAISSANCE,string,factor,B09_DEP,factor,no
B09_REG,REGION DE NAISSANCE,string,factor,B09_REG,factor,no
B09_PAYS,Pays de naissance,string,factor,B09_PAYS,factor,no
B09_AUTRES_PRECISER,AUTRE LIEU NAISSANCE,double,numeric,B09_AUTRES_PRECISER,numeric,no
B10,Possession d'acte de naissance,double,factor,B10,factor,no
B11,SITUATION DE RESIDENCE,double,factor,B11,factor,no
B13,LIEU DE RESIDENCE IL Y A 5 ANS,string,factor,B13,factor,no
B13_DEP,DEPARTEMENT DE RESIDENCE IL Y A 5 ANS,string,factor,B13_DEP,factor,no
B13_REG,REGION DE RESIDENCE IL Y A 5 ANS,string,factor,B13_REG,factor,no
B13_PAYS,Pays de RESIDENCE IL Y A 5 ANS,string,factor,B13_PAYS,factor,no
B13_AUTRES_PRECISER,AUTRE LIEU IL Y'A 5 ANS,double,numeric,B13_AUTRES_PRECISER,numeric,no
B14,MOTIF DU DEPLACEMENT,double,factor,B14,factor,no
B14_AUTRES_PRECISER,AUTRE MOTIF DE DEPLACEMENT,string,character,B14_AUTRES_PRECISER,character,no
B15B,LIEU DE RESIDENCE il y a 1 ans,string,factor,B15B,factor,no
B15B_DEP,DEPARTEMENT DE RESIDENCE  il y a 1 ans,string,factor,B15B_DEP,factor,no
B15B_REG,REGION DE RESIDENCE  il y a 1 ans,string,factor,B15B_REG,factor,no
B15B_PAYS,Pays de RESIDENCE  il y a 1 ans,string,factor,B15B_PAYS,factor,no
B15B_AUTRES_PRECISER,AUTRE LIEU ANTERIEURE,double,numeric,B15B_AUTRES_PRECISER,numeric,no
B16,NATIONALITE,double,factor,B16,factor,no
B16_AUTRES_PRECISER,AUTRE NATIONALITE,string,character,B16_AUTRES_PRECISER,character,no
B17A,Langue de l'ethnie,double,factor,B17A,factor,no
B18,1ère langue parlée,double,factor,B18,factor,no
B18_AUTRES_PRECISER,AUTRE 1ERE LANGUE,string,character,B18_AUTRES_PRECISER,character,no
B19,2ème langue parlée,double,factor,B19,factor,no
B19_AUTRES_PRECISER,AUTRE 2EME LANGUE,string,character,B19_AUTRES_PRECISER,character,no
B21,"[NOM] a-t-il des difficultés à voir, même s'il porte des lunettes?",double,factor,B21,factor,no
B22,"[NOM] a-t-il la difficulté à entendre, même à l'aide d'une prothèse auditive?",double,factor,B22,factor,no
B23,[NOM] a-t-il des difficultés à marcher ou à monter des marches?,double,factor,B23,factor,no
B24,[NOM] a-t-il  du mal à se souvenir ou à se concentrer?,double,factor,B24,factor,no
B25,[NOM] a-t-il des difficultés (en prenant soin de lui-même) à effectuer des activ,double,factor,B25,factor,no
B26,"En utilisant sa langue habituelle (usuelle), [NOM] a-t-il des difficultés à comm",double,factor,B26,factor,no
B26A,[NOM] souffre -t-il de ?,string,character,B26A,character,no
B26A_1,Albinisme,double,factor,B26A_1,factor,no
B26A_2,Deficience_mentale,double,factor,B26A_2,factor,no
B26A_0,Aucun,double,factor,B26A_0,factor,no
B26A_3,Lepre,double,factor,B26A_3,factor,no
B26A_4,Diabete,double,factor,B26A_4,factor,no
B26A_5,Drepanocytose,double,factor,B26A_5,factor,no
B26A_6,Insuffisance_renale,double,factor,B26A_6,factor,no
B26A_7,Maladies_cardiovasculaires,double,factor,B26A_7,factor,no
B26A_8,Cancer,double,factor,B26A_8,factor,no
B26A_9,Epilepsie,double,factor,B26A_9,factor,no
B26A_10,Hemophilie,double,factor,B26A_10,factor,no
B26A_11,Asthme,double,factor,B26A_11,factor,no
B26A_12,Autisme,double,factor,B26A_12,factor,no
B26A_13,Deficience_intellectuelle,double,factor,B26A_13,factor,no
B26A_14,Tuberculose,double,factor,B26A_14,factor,no
B27,Le Père de [NOM] est-il encore en vie ?,double,factor,B27,factor,no
B28,La Mère de [NOM] est-elle encore en vie ?,double,factor,B28,factor,no
B29,Est-ce que [NOM] a déjà  fréquenté ou fréquente l'école actuellement ?,double,factor,B29,factor,yes
B30,Quel est le type d'enseignement suivi par  [NOM] ?,double,factor,B30,factor,yes
B30_AUTRE,Autre type d'enseignement,string,character,B30_AUTRE,character,no
B31,Quel est le type d'établissement fréquenté par [NOM] ?,double,factor,B31,factor,yes
B32,NIVEAU D'INSTRUCTION,double,factor,B32,factor,yes
B33,DIPLÔME OBTENU,double,factor,B33,factor,yes
B33A,NOMBRE D'ANNEES D'ETUDE,double,numeric,B33A,numeric,no
B34_BRAILLE,Braille,double,factor,B34_BRAILLE,factor,yes
B34_FR,Francais,double,factor,B34_FR,factor,yes
B34_WO,Wolof,double,factor,B34_WO,factor,yes
B34_ARABE,ARABE,double,factor,B34_ARABE,factor,yes
B34_PULAR,PULAR,double,factor,B34_PULAR,factor,yes
B34_SEREER,SEREER,double,factor,B34_SEREER,factor,yes
B34_JOOLA,Joola,double,factor,B34_JOOLA,factor,yes
B34_MANDINKA,Mandinka,double,factor,B34_MANDINKA,factor,yes
B34_SOONINKE,sooninke,double,factor,B34_SOONINKE,factor,yes
B34_BASANIVA,hasaniya,double,factor,B34_BASANIVA,factor,yes
B34_BALANT,balant,double,factor,B34_BALANT,factor,yes
B34_MANKAAN,mankaan,double,factor,B34_MANKAAN,factor,yes
B34_NOON,noon,double,factor,B34_NOON,factor,yes
B34_MANJAAK,manjaak,double,factor,B34_MANJAAK,factor,yes
B34_MENIK,Menik,double,factor,B34_MENIK,factor,yes
B34_ONIYAN,Oniyan,double,factor,B34_ONIYAN,factor,yes
B34_SAAFI_SAAFI,Saafi_saafi,double,factor,B34_SAAFI_SAAFI,factor,yes
B34_GUNUNN,gununn,double,factor,B34_GUNUNN,factor,yes
B34_LAALAA,laalaa,double,factor,B34_LAALAA,factor,yes
B34_KANJAD,kanjad,double,factor,B34_KANJAD,factor,yes
B34_JALUNGA,Jalunga,double,factor,B34_JALUNGA,factor,yes
B34_NDUT,ndut,double,factor,B34_NDUT,factor,yes
B34_BAYOT,bayot,double,factor,B34_BAYOT,factor,yes
B34_PALOOR,paloor,double,factor,B34_PALOOR,factor,yes
B34_WOMEY,Womey,double,factor,B34_WOMEY,factor,yes
B34_AUTRE,AUTRE LANGUE,string,character,B34_AUTRE,character,yes
B35,FORMATION PROFESSIONNELLE,double,factor,B35,factor,yes
B36,Situation par rapport à l'occupation revue,double,factor,B36,factor,no
B36_AUTRE,,string,character,B36_AUTRE,character,no
B37,ACTIVITE PRINCIPALE,string,factor,B37,factor,no
B37_AUTRES_PRECISER,AUTRE ACTIVITE,string,character,B37_AUTRES_PRECISER,character,no
B38,SITUATION DANS L'OCCUPATION PRINCIPALE,double,factor,B38,factor,no
B39A_CLASSIF,BRANCHE ACTIVITE CLASSIFIEE,string,factor,B39A_CLASSIF,factor,no
B39A,BRANCHE D'ACTIVITE,string,factor,B39A,factor,no
B39A_AUTRES_PRECISER,,string,character,B39A_AUTRES_PRECISER,character,no
B39B,SECTEUR D'ACTIVITE,double,factor,B39B,factor,no
B39B_AUTRES_PRECISER,AUTRE BRANCHE,string,character,B39B_AUTRES_PRECISER,character,no
B40,PROFESSION,string,factor,B40,factor,no
B40_AUTRES_PRECISER,AUTRE PROFESSION,string,character,B40_AUTRES_PRECISER,character,no
B41,Etat matrimonial FINAL,double,factor,B41,factor,yes
B41A,Numéro D'ordre du conjoint,double,factor,B41A,factor,no
B42,DECLARATION A L'ETAT CIVIL,double,factor,B42,factor,no
B43,Naissances vivantes masculines,double,factor,B43,factor,no
B44,Naissances vivantes féminines,double,factor,B44,factor,no
B45,Naissances vivantes masculines,double,factor,B45,factor,no
B46,Naissances vivantes féminines,double,factor,B46,factor,no
B47,Naissances vivantes masculines,double,factor,B47,factor,no
B48,Naissances vivantes féminines,double,factor,B48,factor,no
B50_A,Naissance au cours des 5 dernières années,double,factor,B50_A,factor,no
B49,,double,numeric,B49,numeric,no
B49_J,dernière naissance vivante au cours des cinq dernières années (J),double,factor,B49_J,factor,no
B49_M,dernière naissance vivante (Mois),double,factor,B49_M,factor,no
B49_A,dernière naissance vivante (Années),double,factor,B49_A,factor,no
B50,dernière naissance vivante encore en vie,double,factor,B50,factor,no
B51,sexe dernière naissance vivante,double,factor,B51,factor,no
lieu_residence_debut_period_C,LIEU DE RESIDENCE il y a 1 ans,string,factor,lieu_residence_debut_period_C,factor,no
lieu_residence_debut_period_D,DEPARTEMENT DE RESIDENCE  il y a 1 ans,string,factor,lieu_residence_debut_period_D,factor,no
lieu_residence_debut_period_R,REGION DE RESIDENCE  il y a 1 ans,string,factor,lieu_residence_debut_period_R,factor,no
age_accouch,,double,numeric,age_accouch,numeric,no
age_cm,AGE,double,factor,age_cm,factor,no
age_debut_period,,double,numeric,age_debut_period,numeric,no
age_dernier_ne_5aN,,double,numeric,age_dernier_ne_5aN,numeric,no
POP_TYPE,,double,numeric,POP_TYPE,numeric,no
sex_cm,SEXE,double,factor,sex_cm,factor,no
Secteur_Activite,SECTEUR ACTIVITE,string,factor,Secteur_Activite,factor,no
Niv_Inst,Niveau d'instruction,double,factor,Niv_Inst,factor,no
Taille_men,,double,numeric,Taille_men,numeric,no
COD_STRATE_P,Strate,double,factor,COD_STRATE_P,factor,no
POIDS_STRATE_P,Pondération strate,double,factor,POIDS_STRATE_P,factor,no
